"doi","error"
"10.1016/j.scitotenv.2020.144715","No abstract found"
"10.1016/j.anbehav.2021.07.019","No abstract found"
"10.1016/j.coastaleng.2021.103984","No abstract found"
"10.1061/(asce)wr.1943-5452.0001445","No abstract found"
"10.1061/(asce)wr.1943-5452.0001410","No abstract found"
"10.1061/(asce)wr.1943-5452.0001348","No abstract found"
"10.1007/978-3-030-52171-4_57","No abstract found"
"10.1016/j.memsci.2021.119135","No abstract found"
"10.1016/j.agrformet.2021.108528","No abstract found"
"10.1007/s10452-021-09863-4","No abstract found"
"10.1007/s10584-021-03057-5","No abstract found"
"10.1016/j.jenvman.2021.113170","No abstract found"
"10.1016/j.soilbio.2021.108235","No abstract found"
"10.1080/09593330.2021.1916092","No abstract found"
"10.1002/ecy.3552","No abstract found"
"10.1016/j.envpol.2020.115808","No abstract found"
"10.1016/j.desal.2021.115129","No abstract found"
"10.1016/j.agrformet.2020.108215","No abstract found"
"10.1061/(asce)gt.1943-5606.0002684","No abstract found"
"10.3133/tm6h1","No abstract found"
"10.1016/j.memsci.2021.119180","No abstract found"
"10.1061/(asce)gt.1943-5606.0002610","No abstract found"
